date,sport,subtype,planned_vs_unplanned,duration,distance_km,pace_min_km,avg_hr,relative_effort,football_session_load,HIR_m,sprint_distance_m,accelerations,decelerations,source,data_confidence
2026-07-21,run,quality_run,planned,,10.0,,,,,,,,,plan,plan
2026-07-22,run,run,planned,,6.0,,,,,,,,,plan,plan
2026-07-23,run,quality_run,planned,,10.0,,,,,,,,,plan,plan
2026-07-24,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-07-25,run,rest,planned,,,,,,,,,,,plan,plan
2026-07-26,run,long_run,planned,,28.0,,,,,,,,,plan,plan
2026-07-27,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-07-28,run,race,planned,,10.0,,,,,,,,,plan,plan
2026-07-29,run,run,planned,,6.0,,,,,,,,,plan,plan
2026-07-30,run,quality_run,planned,,10.0,,,,,,,,,plan,plan
2026-07-31,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-08-01,run,rest,planned,,,,,,,,,,,plan,plan
2026-08-02,run,quality_run,planned,,24.0,,,,,,,,,plan,plan
2026-08-03,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-08-04,run,quality_run,planned,,10.0,,,,,,,,,plan,plan
2026-08-05,run,run,planned,,6.0,,,,,,,,,plan,plan
2026-08-06,run,quality_run,planned,,14.0,,,,,,,,,plan,plan
2026-08-07,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-08-08,run,rest,planned,,,,,,,,,,,plan,plan
2026-08-09,run,quality_run,planned,,30.0,,,,,,,,,plan,plan
2026-08-10,run,run,planned,,6.0,,,,,,,,,plan,plan
2026-08-11,run,quality_run,planned,,8.0,,,,,,,,,plan,plan
2026-08-12,run,run,planned,,6.0,,,,,,,,,plan,plan
2026-08-13,run,quality_run,planned,,8.0,,,,,,,,,plan,plan
2026-08-14,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-08-15,run,rest,planned,,,,,,,,,,,plan,plan
2026-08-16,run,long_run,planned,,24.0,,,,,,,,,plan,plan
2026-08-17,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-08-18,run,race,planned,,12.0,,,,,,,,,plan,plan
2026-08-19,run,run,planned,,6.0,,,,,,,,,plan,plan
2026-08-20,run,quality_run,planned,,10.0,,,,,,,,,plan,plan
2026-08-21,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-08-22,run,rest,planned,,,,,,,,,,,plan,plan
2026-08-23,run,quality_run,planned,,32.0,,,,,,,,,plan,plan
2026-08-24,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-08-25,run,quality_run,planned,,10.0,,,,,,,,,plan,plan
2026-08-26,run,run,planned,,6.0,,,,,,,,,plan,plan
2026-08-27,run,quality_run,planned,,10.0,,,,,,,,,plan,plan
2026-08-28,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-08-29,run,rest,planned,,,,,,,,,,,plan,plan
2026-08-30,run,long_run,planned,,28.0,,,,,,,,,plan,plan
2026-08-31,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-09-01,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-09-02,run,quality_run,planned,,14.0,,,,,,,,,plan,plan
2026-09-03,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-09-04,run,long_run,planned,,26.0,,,,,,,,,plan,plan
2026-09-05,run,rest,planned,,,,,,,,,,,plan,plan
2026-09-06,football,football,planned,,,,,,,,,,,plan,plan
2026-09-07,run,run,planned,,8.0,,,,,,,,,plan,plan
2026-09-08,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-09-09,run,quality_run,planned,,16.0,,,,,,,,,plan,plan
2026-09-10,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-09-11,run,quality_run,planned,,30.0,,,,,,,,,plan,plan
2026-09-12,run,rest,planned,,,,,,,,,,,plan,plan
2026-09-13,football,football,planned,,,,,,,,,,,plan,plan
2026-09-14,run,run,planned,,6.0,,,,,,,,,plan,plan
2026-09-15,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-09-16,run,quality_run,planned,,12.0,,,,,,,,,plan,plan
2026-09-17,football,football,planned,,8.0,,,,,,,,,plan,plan
2026-09-18,run,long_run,planned,,24.0,,,,,,,,,plan,plan
2026-09-19,run,rest,planned,,,,,,,,,,,plan,plan
2026-09-20,football,football,planned,,,,,,,,,,,plan,plan
